links,names,ratings,price for one,cuisine,images,address,timing,contact
https://www.zomato.com/visakhapatnam/abs-absolute-barbecues-dwaraka-nagar-vizag/info,AB's - Absolute Barbecues,4.4,"₹1,650 for two","North Indian, BBQ, Biryani",https://b.zmtcdn.com/data/pictures/chains/0/18837140/cddf8893dc7c751506af12007b3314c2_featured_v2.jpg?output-format=webp,"Dwaraka Nagar, Vizag",Opens in 28 minutes,+917337383764
https://www.zomato.com/visakhapatnam/brew-n-bistro-lawsons-bay-vizag/info,Brew 'n' Bistro,4.0,₹800 for two,"Cafe, Continental, Coffee, Italian, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/4/18512384/b32ceef735b90d8218e17f28eb1636e6_featured_v2.jpg?output-format=webp,"Lawsons Bay, Vizag",,+919440373839
https://www.zomato.com/visakhapatnam/the-square-hotel-novotel-maharani-peta-vizag/info,The Square - Hotel Novotel,4.0,"₹3,000 for two","Continental, North Indian",https://b.zmtcdn.com/data/pictures/2/2800052/572cb90f452612793948d2fd042f5789_featured_v2.jpg?output-format=webp,"Maharani Peta, Vizag",,+917799884036
https://www.zomato.com/visakhapatnam/the-eatery-four-points-by-sheraton-waltair-uplands/info,The Eatery - Four Points By Sheraton,4.1,"₹2,500 for two","North Indian, Chinese, Mexican, Continental, Biryani, Fast Food, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/9/2800059/f6187ea0be79d73bf3e59afcba29f5c8_featured_v2.jpg?output-format=webp,"Waltair Uplands, Vizag",Opens at 7pm,+918106829333
https://www.zomato.com/visakhapatnam/the-shack-the-park-lawsons-bay-vizag/info,The Shack - The Park,4.0,"₹1,800 for two","Moroccan, Oriental, Desserts",https://b.zmtcdn.com/data/pictures/4/2800044/28d73f8de29aab9729abd88df4de2932_featured_v2.jpg?output-format=webp,"Lawsons Bay, Vizag",,+918916825678
https://www.zomato.com/visakhapatnam/kai-welcomhotel-grand-bay-maharani-peta-vizag/info,KAI - WelcomHotel Grand Bay,4.5,"₹3,500 for two","Asian, Thai, Japanese, Seafood, Sushi, Chinese, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/2/21299042/0cea84dfe762cff5df7472c44ba54894_featured_v2.jpg?output-format=webp,"Maharani Peta, Vizag",Opens at 7pm,+916309716262
https://www.zomato.com/visakhapatnam/myz-uno-brew-pub-siripuram-vizag/info,Myz-Uno Brew Pub,4.9,"₹2,300 for two","North Indian, South Indian, Andhra, Continental",https://b.zmtcdn.com/data/pictures/0/2801370/8fa63754fea9ee72d2708d723d6616dc_featured_v2.jpg?output-format=webp,"Siripuram, Vizag",,+919991725555
https://www.zomato.com/visakhapatnam/vista-the-park-chinna-waltair-vizag/info,Vista - The Park,4.2,"₹2,000 for two","American, North Indian, Thai, Continental, Desserts",https://b.zmtcdn.com/data/pictures/2/2800042/47696af6722d9a45b7f61dde09fab968_featured_v2.jpg?output-format=webp,"Chinna Waltair, Vizag",,+918916825678
https://www.zomato.com/visakhapatnam/makkhan-masala-pure-veg-dwaraka-nagar-vizag/info,Makkhan Masala Pure Veg,4.5,"₹1,000 for two","North Indian, South Indian, Biryani, Chinese, Tea",https://b.zmtcdn.com/data/pictures/1/21374601/8f3769e7430279be6c03e7db9d5ce66d_featured_v2.jpg?output-format=webp,"Dwaraka Nagar, Vizag",,+919000810055
https://www.zomato.com/visakhapatnam/the-spicy-venue-siripuram-vizag/info,The Spicy Venue,4.3,₹500 for two,"Biryani, North Indian",https://b.zmtcdn.com/data/pictures/0/2801690/637c1007a4b797c5218e45e6d319fb92_featured_v2.jpg,"Siripuram, Vizag",Closes in 58 minutes,+918912565555
https://www.zomato.com/visakhapatnam/latte-cafe-and-kitchen-mvp-colony-vizag/info,Latte Cafe And Kitchen,3.9,"₹1,500 for two","Andhra, North Indian, Middle Eastern, Pizza",https://b.zmtcdn.com/data/pictures/8/21516198/954b91bd21ae85272042bac4e8bc7228_featured_v2.jpg,"MVP Colony, Vizag",,+917286897777
https://www.zomato.com/visakhapatnam/barbeque-nation-siripuram-vizag/info,Barbeque Nation,4.3,"₹1,600 for two","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",https://b.zmtcdn.com/data/pictures/5/20440935/d27d608c67c98a26b7c46ebe0509c515_featured_v2.jpg,"Siripuram, Vizag",Opens in 28 minutes,+919154295057
https://www.zomato.com/visakhapatnam/misaki-by-daspalla-executive-court-ram-nagar-vizag/info,Misaki by Daspalla Executive Court,4.0,"₹1,550 for two","South Indian, North Indian, Chinese, Biryani, Seafood, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/6/2800066/f2a6d5f0bf115e7860a1a43a8966e534_featured_v2.jpg,"Ram Nagar, Vizag",Opens at 7pm,+919866319735
https://www.zomato.com/visakhapatnam/ironhill-brewery-2-siripuram-vizag/info,Ironhill Brewery,4.3,"₹1,400 for two","North Indian, Asian, Italian, South Indian, Fast Food, Salad, Desserts",https://b.zmtcdn.com/data/pictures/3/2801323/0107736fe144d7dd47a6ed9df9c47b28_featured_v2.jpg,"Siripuram, Vizag",,+918977767676
https://www.zomato.com/visakhapatnam/moon-bar-kitchen-dwaraka-nagar-vizag/info,Moon Bar & Kitchen,4.5,"₹2,000 for two","Bar Food, Continental, South Indian, Italian, Pizza, Seafood, Fast Food",https://b.zmtcdn.com/data/pictures/1/21516951/c99f9c3d55a91f72998f543117dd5adf_featured_v2.jpg,"Dwaraka Nagar, Vizag",,+919587192999
https://www.zomato.com/visakhapatnam/mekong-hotel-greenpark-waltair-uplands-vizag/info,Mekong - Hotel GreenPark,4.6,"₹2,500 for two","Asian, Thai, Oriental, Chinese, Japanese, Desserts",https://b.zmtcdn.com/data/pictures/3/2800903/84bb43d538698bee50e33b6a99e66927_featured_v2.jpg,"Waltair Uplands, Vizag",Opens at 7pm,+918916615151
https://www.zomato.com/visakhapatnam/amritsar-haveli-ram-nagar-vizag/info,Amritsar Haveli,3.5,"₹1,200 for two","North Indian, Chinese, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/3/20587823/4afd72e47fa5262bfcc11154c26440bf_featured_v2.jpg,"Ram Nagar, Vizag",Opens at 7pm,+919908210045
https://www.zomato.com/visakhapatnam/red-bowl-maharani-peta-vizag/info,Red Bowl,4.3,"₹3,500 for two",Asian,https://b.zmtcdn.com/data/pictures/1/21229471/72e6f3b2df3b3b76a210927a089ab736_featured_v2.jpg,"Maharani Peta, Vizag",Opens at 7pm,+917799888068
https://www.zomato.com/visakhapatnam/midway-restaurant-by-elegant-hotel-ram-nagar-vizag/info,Midway  Restaurant by Elegant Hotel,3.1,₹600 for two,"North Indian, South Indian, Chinese, Mughlai, Kebab, Biryani, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/0/18968500/af017ac89e28e157cf2de241246e1fe2_featured_v2.jpg,"Ram Nagar, Vizag",,+917337331907
https://www.zomato.com/visakhapatnam/subbayya-gari-hotel-dondaparithy-vizag/info,Subbayya Gari Hotel,4.1,₹600 for two,Andhra,https://b.zmtcdn.com/data/pictures/9/19346949/12e2e76c483ce960d9096c51e945242b_featured_v2.jpg,"Dondaparithy, Vizag",,+919100416678
https://www.zomato.com/visakhapatnam/cosmic-house-siripuram-vizag/info,Cosmic House,3.9,"₹1,000 for two","Biryani, Continental, North Indian, Beverages",https://b.zmtcdn.com/data/pictures/6/20704916/f3c4537b5cd0c204b04d2b242da959dd_featured_v2.jpg,"Siripuram, Vizag",,+919440223519
https://www.zomato.com/visakhapatnam/zaffran-hotel-novotel-maharani-peta-vizag/info,Zaffran - Hotel Novotel,4.5,"₹3,000 for two","North Indian, Mughlai, Biryani, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/1/2800051/75a468a7d9e94ae3f1ebfdb663a8ca6b_featured_v2.jpg,"Maharani Peta, Vizag",Opens at 7pm,+917799888068
https://www.zomato.com/visakhapatnam/pizza-hut-maddilapalem-vizag/info,Pizza Hut,4.3,₹600 for two,"Pizza, Fast Food, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/chains/2/2800012/0279cb06f7b0151a1da07ea593ba7fec_featured_v2.jpg,"Maddilapalem, Vizag",,18002022022
https://www.zomato.com/visakhapatnam/r-g-hotel-greenpark-waltair-uplands-vizag/info,R&G - Hotel GreenPark,4.5,₹500 for two,"North Indian, Chinese, Continental, South Indian, Japanese, Kebab, Desserts",https://b.zmtcdn.com/data/pictures/6/2800046/52dbc0e4f0abc945cdcff0920c2d07e0_featured_v2.jpg,"Waltair Uplands, Vizag",Opens at 7:30pm,+918916615151
https://www.zomato.com/visakhapatnam/chinese-wok-allipuram-vizag/info,Chinese Wok,3.9,₹200 for two,Chinese,https://b.zmtcdn.com/data/pictures/0/21660350/bcc25f9276af3b250b331140a7a58921_o2_featured_v2.jpg,"Allipuram, Vizag",,+919248307700
https://www.zomato.com/visakhapatnam/sams-griddle-1-siripuram-vizag/info,Sam's Griddle,3.9,"₹1,000 for two","North Indian, Mexican, Italian, Continental, Asian, Biryani",https://b.zmtcdn.com/data/pictures/0/18740940/40e053d71919e9a60342d121ed4fcb18_featured_v2.jpg,"Siripuram, Vizag",Opens at 7pm,+918916637444
https://www.zomato.com/visakhapatnam/fresh-choice-patisserie-bakery-café-siripuram-vizag/info,"Fresh Choice- Patisserie, Bakery & Café",4.5,₹300 for two,"Bakery, Pizza, Sandwich, Fast Food",https://b.zmtcdn.com/data/pictures/4/2801034/a966d6949f37806fd0fae29615107fe0_featured_v2.jpg,"Siripuram, Vizag",,+919100054869
https://www.zomato.com/welcomhotelgrandbay/info,Dakshin - WelcomHotel Grand Bay,4.2,"₹1,800 for two",South Indian,https://b.zmtcdn.com/data/pictures/9/2800259/d06c0ae9ae0de5cbf4cdd0421b8473fa_featured_v2.jpg,"Maharani Peta, Vizag",Opens at 7pm,+918916600101
https://www.zomato.com/visakhapatnam/bigguys-wings-more-maddilapalem-vizag/info,Bigguys Wings & More,4.0,₹400 for two,"Grilled Chicken, Burger, Biryani, Fast Food",https://b.zmtcdn.com/data/pictures/7/21411347/bf876e316f93eb8ccb9b88585d22185b_o2_featured_v2.jpg,"Maddilapalem, Vizag",,+919347238013
https://www.zomato.com/visakhapatnam/zamindari-royal-south-cuisine-maharani-peta-vizag/info,Zamindari - Royal South Cuisine,3.5,"₹1,000 for two",South Indian,https://b.zmtcdn.com/data/pictures/9/20671779/7a115aab31db3a8ff39a7e5c5d1b3ad4_featured_v2.jpg,"Maharani Peta, Vizag",Opens at 7pm,+919951522111
https://www.zomato.com/visakhapatnam/starbucks-coffee-dwaraka-nagar-vizag/info,Starbucks Coffee,3.9,₹900 for two,"Cafe, Coffee, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/5/20762895/f2aff8fc54f0e7d81cf54f86e661235e_featured_v2.jpg,"Dwaraka Nagar, Vizag",,18602660010
https://www.zomato.com/visakhapatnam/zeeshan-restaurant-apna-hyderabadi-food-jagadamba-junction-vizag/info,Zeeshan Restaurant - Apna Hyderabadi Food,4.2,₹900 for two,"Biryani, North Indian, Mughlai, Chinese, Kebab, Juices, Shake, Beverages",https://b.zmtcdn.com/data/pictures/chains/3/2800993/08ddcbfacfb3d5c7513e04680c6e732e_featured_v2.jpg,"Jagadamba Junction, Vizag",,+917095463726
https://www.zomato.com/visakhapatnam/maaya-maddilapalem-vizag/info,Maaya,New,"₹1,000 for two","South Indian, Biryani, Chinese, Kebab, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/6/21751156/e247c20f633fd79a839583f605db0794_featured_v2.jpg,"Maddilapalem, Vizag",Opens in 28 minutes,+918007740803
https://www.zomato.com/visakhapatnam/flying-spaghetti-monster-waltair-uplands-vizag/info,Flying Spaghetti Monster,4.5,"₹1,400 for two","Italian, Mexican, Desserts, Beverages",https://b.zmtcdn.com/data/pictures/9/2800019/f535f0b8811431a2de5c02b45623e3da_featured_v2.jpg,"Waltair Uplands, Vizag",,+918912766652
https://www.zomato.com/visakhapatnam/harbour-vue-hotel-novotel-maharani-peta-vizag/info,Harbour Vue - Hotel Novotel,4.2,"₹2,400 for two","Bar Food, North Indian, Seafood, Beverages",https://b.zmtcdn.com/data/pictures/6/2800796/72002d4d2e642babffce7cac2f1a3eb6_featured_v2.jpg,"Maharani Peta, Vizag",,+917799884043
https://www.zomato.com/visakhapatnam/royal-spice-gadiraju-palace-mvp-colony-vizag/info,Royal Spice - Gadiraju Palace,4.3,"₹1,200 for two","North Indian, Mughlai, Chinese, Biryani, Sandwich, Fast Food",https://b.zmtcdn.com/data/pictures/6/20144706/e2dbdc3d51def808a264960352f5ba6e_featured_v2.jpg,"MVP Colony, Vizag",Opens at 7pm,+917799933799
